timestamp,builtin:host.cpu.usage:avg,builtin:host.disk.used:avg,builtin:host.mem.usage:avg
2025-10-23 04:47:00,11.549794514973959,491193630037.3333,74.0947977701823
2025-10-23 04:48:00,12.018544514973959,491193947477.3333,74.34460957845052
2025-10-23 04:49:00,11.69622802734375,491194327722.6667,74.52681732177734
2025-10-23 04:50:00,12.552337646484375,491194034176.0,74.55066172281902
2025-10-23 04:51:00,12.501017252604166,491193965909.3333,74.61412811279297
2025-10-23 04:52:00,13.366231282552084,491194348885.3333,74.83131917317708
2025-10-23 04:53:00,11.993326822916666,491195196757.3333,75.07548014322917
2025-10-23 04:54:00,12.005208333333334,491195490986.6667,75.17611694335938
2025-10-23 04:55:00,12.093373616536459,491195570176.0,75.18820699055989
2025-10-23 04:56:00,13.303761800130209,491196334762.6667,75.16757710774739
2025-10-23 04:57:00,11.055013020833334,491196830378.6667,75.24092356363933
2025-10-23 04:58:00,12.81884765625,491197131434.6667,75.43773651123047
2025-10-23 04:59:00,16.160135904947918,491198662656.0,75.92167409261067
2025-10-23 05:00:00,12.136688232421875,491201738069.3333,75.64096577962239
2025-10-23 05:01:00,11.407541910807291,491202256213.3333,75.63229115804036
2025-10-23 05:02:00,12.30145263671875,491202825557.3333,75.62678527832031
2025-10-23 05:03:00,12.721272786458334,491203091114.6667,75.46469624837239
2025-10-23 05:04:00,12.135915120442709,491203404458.6667,75.59729258219402
2025-10-23 05:05:00,12.020334879557291,491203536213.3333,75.63672129313152
2025-10-23 05:06:00,12.369923909505209,491203650218.6667,74.99770100911458
2025-10-23 05:07:00,12.186208089192709,491203854336.0,74.90034484863281
2025-10-23 05:08:00,14.825973510742188,491204283733.3333,75.04440053304036
2025-10-23 05:09:00,11.23638916015625,491206594560.0,75.05400848388672
2025-10-23 05:10:00,12.452341715494791,491206607530.6667,75.10092163085938
2025-10-23 05:11:00,14.087687174479166,491206367232.0,75.17574310302734
2025-10-23 05:12:00,11.6434326171875,491206520832.0,76.31443277994792
2025-10-23 05:13:00,19.298965454101562,491207516842.6667,76.7219950358073
2025-10-23 05:14:00,11.588033040364584,491205090645.3333,76.93160756429036
2025-10-23 05:15:00,12.420074462890625,491204840106.6667,76.92220815022786
2025-10-23 05:16:00,11.373667399088541,491205092693.3333,76.8821029663086
2025-10-23 05:17:00,12.340372721354166,491204316501.3333,76.92570495605469
2025-10-23 05:18:00,13.05841064453125,491204122624.0,77.12784322102864
2025-10-23 05:19:00,12.634847005208334,491204147200.0,77.22901916503906
2025-10-23 05:20:00,11.609965006510416,491204146517.3333,77.20211791992188
2025-10-23 05:21:00,12.5411376953125,491204254378.6667,76.58540852864583
2025-10-23 05:22:00,11.643686930338541,491204501504.0,76.41448211669922
2025-10-23 05:23:00,13.613423665364584,491204792320.0,76.43051656087239
2025-10-23 05:24:00,12.150380452473959,491205131605.3333,76.47654978434245
2025-10-23 05:25:00,12.156016031901041,491205356885.3333,76.6168212890625
2025-10-23 05:26:00,11.635884602864584,491205700949.3333,76.76551564534505
2025-10-23 05:27:00,12.757843017578125,491205926912.0,76.73868306477864
2025-10-23 05:28:00,12.761820475260416,491206485333.3333,76.8340581258138
2025-10-23 05:29:00,12.919169108072916,491206713344.0,76.9784444173177
2025-10-23 05:30:00,13.440989176432291,491206833493.3333,76.98660786946614
2025-10-23 05:31:00,11.960113525390625,491150873941.3333,76.61596934000652
2025-10-23 05:32:00,12.824300130208334,491139964928.0,76.71595001220703
2025-10-23 05:33:00,13.141469319661459,491140414805.3333,76.8245340983073
2025-10-23 05:34:00,14.904032389322916,491199335765.3333,78.14994557698567
2025-10-23 05:35:00,12.081441243489584,491211571882.6667,78.24871063232422
2025-10-23 05:36:00,11.932047526041666,491212027221.3333,77.58045450846355
2025-10-23 05:37:00,12.129465738932291,491212567210.6667,77.37913513183594
2025-10-23 05:38:00,11.425669352213541,491212851882.6667,77.30647786458333
2025-10-23 05:39:00,12.557525634765625,491212903765.3333,77.43558756510417
2025-10-23 05:40:00,13.115203857421875,491143998122.6667,76.60214233398438
2025-10-23 05:41:00,13.261881510416666,491130602154.6667,76.53712717692058
2025-10-23 05:42:00,12.783528645833334,491131013802.6667,76.56379699707031
2025-10-23 05:43:00,12.902811686197916,491131247957.3333,76.58604939778645
2025-10-23 05:44:00,12.258575439453125,491131510101.3333,76.65061950683594
2025-10-23 05:45:00,12.891896565755209,491131842560.0,76.36850992838542
2025-10-23 05:46:00,15.793975830078125,491132166144.0,76.69131469726562
